twitter_handle,profile_img_normal,profile_img_bigger,profile_img_mini,profile_img_original,dimensions,width,height
xQc,http://pbs.twimg.com/profile_images/1188911868863221772/fpcyKuIW_normal.jpg,http://pbs.twimg.com/profile_images/1188911868863221772/fpcyKuIW_bigger.jpg,http://pbs.twimg.com/profile_images/1188911868863221772/fpcyKuIW_mini.jpg,http://pbs.twimg.com/profile_images/1188911868863221772/fpcyKuIW.jpg,"(400, 400)",400,400
summit1g,http://pbs.twimg.com/profile_images/1253450626500923393/k3QBhmHk_normal.jpg,http://pbs.twimg.com/profile_images/1253450626500923393/k3QBhmHk_bigger.jpg,http://pbs.twimg.com/profile_images/1253450626500923393/k3QBhmHk_mini.jpg,http://pbs.twimg.com/profile_images/1253450626500923393/k3QBhmHk.jpg,"(400, 400)",400,400
Tfue,http://pbs.twimg.com/profile_images/1234540362070478850/enLVtBuZ_normal.jpg,http://pbs.twimg.com/profile_images/1234540362070478850/enLVtBuZ_bigger.jpg,http://pbs.twimg.com/profile_images/1234540362070478850/enLVtBuZ_mini.jpg,http://pbs.twimg.com/profile_images/1234540362070478850/enLVtBuZ.jpg,"(400, 400)",400,400
Asmongold,http://pbs.twimg.com/profile_images/804591156491419649/BnUUh5KE_normal.jpg,http://pbs.twimg.com/profile_images/804591156491419649/BnUUh5KE_bigger.jpg,http://pbs.twimg.com/profile_images/804591156491419649/BnUUh5KE_mini.jpg,http://pbs.twimg.com/profile_images/804591156491419649/BnUUh5KE.jpg,"(512, 512)",512,512
NICKMERCS,http://pbs.twimg.com/profile_images/1421269155383324675/oKbxh_Bv_normal.jpg,http://pbs.twimg.com/profile_images/1421269155383324675/oKbxh_Bv_bigger.jpg,http://pbs.twimg.com/profile_images/1421269155383324675/oKbxh_Bv_mini.jpg,http://pbs.twimg.com/profile_images/1421269155383324675/oKbxh_Bv.jpg,"(400, 400)",400,400
loltyler1,http://pbs.twimg.com/profile_images/693320968811380736/g3cD_R1A_normal.png,http://pbs.twimg.com/profile_images/693320968811380736/g3cD_R1A_bigger.png,http://pbs.twimg.com/profile_images/693320968811380736/g3cD_R1A_mini.png,http://pbs.twimg.com/profile_images/693320968811380736/g3cD_R1A.png,"(240, 240)",240,240
LIRIK,http://pbs.twimg.com/profile_images/1148972773290762240/kmkJzp5I_normal.png,http://pbs.twimg.com/profile_images/1148972773290762240/kmkJzp5I_bigger.png,http://pbs.twimg.com/profile_images/1148972773290762240/kmkJzp5I_mini.png,http://pbs.twimg.com/profile_images/1148972773290762240/kmkJzp5I.png,"(512, 512)",512,512
Sodapoppintv,http://pbs.twimg.com/profile_images/1321577744518549516/Z9tk9p1v_normal.jpg,http://pbs.twimg.com/profile_images/1321577744518549516/Z9tk9p1v_bigger.jpg,http://pbs.twimg.com/profile_images/1321577744518549516/Z9tk9p1v_mini.jpg,http://pbs.twimg.com/profile_images/1321577744518549516/Z9tk9p1v.jpg,"(212, 212)",212,212
CohhCarnage,http://pbs.twimg.com/profile_images/1479434044286853121/TB1hCcOQ_normal.jpg,http://pbs.twimg.com/profile_images/1479434044286853121/TB1hCcOQ_bigger.jpg,http://pbs.twimg.com/profile_images/1479434044286853121/TB1hCcOQ_mini.jpg,http://pbs.twimg.com/profile_images/1479434044286853121/TB1hCcOQ.jpg,"(318, 318)",318,318
Castro1021,http://pbs.twimg.com/profile_images/1480932779181412360/7_bCe6br_normal.jpg,http://pbs.twimg.com/profile_images/1480932779181412360/7_bCe6br_bigger.jpg,http://pbs.twimg.com/profile_images/1480932779181412360/7_bCe6br_mini.jpg,http://pbs.twimg.com/profile_images/1480932779181412360/7_bCe6br.jpg,"(400, 400)",400,400
